CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
31,166,31,99.9,3104.55,4.55,16800,-0.3,6.3,22.95,0,276,1120,85
424,1679,524,99.9,2882.25,-155.2,17000,-0.6,7.5,22.07,0,1500,14912,332
0,1,1,99.9,2577.15,0,17050,-13.55,3.45,19.59,0,2,116,1
0,1,1,99.9,2530.85,0,17100,-8.3,3.5,19.3,0,100,239,100
0,0,0,0,0,0,17150,-7.85,3.6,19.03,0,2,51,2
0,14,2,99.9,2770,0,17200,2.5,6.75,20.33,0,135,355,-90
0,0,0,0,0,0,17250,-7.65,4,18.62,0,1,88,1
3,4,3,99.9,2490.25,142.1,17300,-8,4,18.28,0,2,244,2
0,0,0,0,0,0,17350,-7.6,4.3,18.12,0,7,82,7
4,6,5,99.9,2445,-54.95,17400,-0.6,8.05,19.41,0,145,234,38
0,0,0,0,0,0,17450,-7.65,8.35,19.16,0,11,6,-1
94,707,180,99.9,2373.15,-178.45,17500,-0.25,8.05,18.7,0,3541,13846,-606
0,0,0,0,0,0,17550,-2.2,7.7,18.22,0,54,106,-4
15,22,15,99.9,2238.25,211.05,17600,-1.15,7.8,17.89,0,292,916,45
0,0,0,0,0,0,17650,-4.4,7.45,17.42,0,26,97,6
44,76,46,99.8,2204.9,-135.1,17700,-1.65,8.65,17.46,0.1,217,1886,23
0,0,0,0,0,0,17750,-1.4,10.5,17.63,0,10,48,-10
30,47,33,99.8,2150,-60,17800,-1.7,10.6,17.29,0.1,1039,6022,-48
0,0,0,0,0,0,17850,-2.6,11.3,17.1,0,71,93,1
5,14,6,99.7,2025,-13.1,17900,-1.15,11.3,16.73,0.2,587,4233,22
0,0,0,0,0,0,17950,-4.35,10.65,16.19,0,16,119,-2
612,4585,1231,99.5,1888.1,-178.5,18000,-1.45,14.05,16.6,0.4,12368,25526,1159
0,0,0,0,0,0,18050,-2.9,14.1,16.22,0,44,147,4
30,230,48,99.3,1761.6,-194.55,18100,-1.6,13.95,15.81,0.6,1069,4249,-265
0,0,0,0,0,0,18150,-1.85,15.55,15.74,0,89,90,-39
56,191,73,99,1697.3,-152.5,18200,-2.05,15.05,15.25,0.9,1442,5372,64
0,0,0,0,0,0,18250,-0.4,17.15,15.24,0,70,308,18
37,346,55,98.6,1563.8,-217.45,18300,-0.4,18.15,15.01,1.3,4124,5996,-396
0,0,0,0,0,0,18350,0.1,20.6,14.99,0,119,356,79
-12,333,62,98,1519.85,-165.4,18400,-1.45,20.3,14.54,1.9,2609,4956,167
0,0,0,0,0,0,18450,-0.6,23.05,14.52,0,84,435,-12
51,11271,570,97.2,1410.55,-173.3,18500,-1.6,25,14.36,2.7,20676,36996,2411
0,60,1,96.7,1386,0,18550,-0.45,27.5,14.24,3.2,82,614,-17
-8,1948,70,96.1,1335.95,-154.45,18600,-0.35,28.5,13.93,3.8,4935,7273,38
0,76,1,95.5,1417.05,0,18650,0.4,30.9,13.76,4.4,534,287,34
19,2138,125,94.8,1245.75,-143.2,18700,1,33.05,13.54,5.1,6682,8239,291
-2,81,4,94,1193.25,-82.75,18750,1.1,36,13.38,5.9,732,307,88
-3,2203,238,93.1,1147,-149.2,18800,3.05,39.45,13.25,6.8,13085,12224,855
2,66,5,92.1,1114.4,-110.6,18850,2.25,41.7,12.98,7.8,570,362,-1
-9,1847,93,91.1,1029.05,-162.15,18900,4.4,45.9,12.86,8.8,7252,7795,118
-2,268,30,89.9,1025.3,-33.5,18950,4.9,50.25,12.71,10,495,579,56
84,12115,2723,88.6,952.45,-155.2,19000,6.5,56.15,12.65,11.3,45570,43040,8992
-1,52,3,87.2,900,-68,19050,5.2,58.5,12.31,12.7,460,546,-15
84,919,372,85.7,852.7,-163.25,19100,6.65,64.75,12.21,14.2,11090,8028,737
-12,96,29,84.1,832.9,-119.95,19150,8.5,70.35,12.04,15.8,1325,925,544
45,2879,1286,82.4,765.5,-165.2,19200,10.45,78.85,12,17.5,17025,13061,3797
-3,98,9,80.6,761.2,-113.8,19250,12.9,86.7,11.88,19.3,1277,610,6
-524,2767,3197,78.7,700.95,-142.9,19300,14.35,95.5,11.77,21.2,13222,12322,1474
10,59,20,76.6,668.4,-135.45,19350,16.05,103.55,11.59,23.3,659,552,28
-265,2363,1334,74.5,615.25,-145.05,19400,17.95,113.55,11.46,25.4,16606,11968,1841
1,207,18,72.3,597.9,-118.45,19450,21.4,125.55,11.39,27.6,1322,797,72
-630,18526,9230,70,541.55,-136.6,19500,25.75,140.05,11.39,29.9,33756,38858,1513
2,301,551,67.6,510.95,-132.15,19550,29.2,153.75,11.29,32.3,848,628,-6
-75,4787,2813,65.1,468,-130.75,19600,34.1,169.9,11.26,34.8,12344,10029,1197
26,304,209,62.6,427.55,-132.15,19650,34.1,181.9,11,37.3,1007,808,68
195,9344,8383,60.1,397.45,-126.15,19700,46.95,207.55,11.25,39.8,25160,12581,3173
57,979,1723,57.5,371.15,-121.75,19750,45.45,220.3,10.94,42.4,5073,1489,672
4834,13491,27797,54.8,342.8,-116.85,19800,47.8,240.45,10.86,45.1,32104,16164,4191
-106,1117,2180,52.2,311.65,-112.35,19850,52.1,261.4,10.76,47.7,2356,849,83
5492,11390,17854,49.6,283.95,-108.3,19900,59.45,285.5,10.74,50.3,15957,7742,2636
115,964,1346,46.9,252.15,-111.7,19950,61.3,306.8,10.55,53,1242,784,-59
4165,28010,36929,44.3,235.4,-98.75,20000,68.2,333.3,10.5,55.6,31761,18164,1099
-50,1070,1246,41.7,210.6,-94.15,20050,73.6,359.45,10.38,58.2,400,458,29
92,4441,6613,39.2,188.2,-88.25,20100,77.7,383.9,10.14,60.7,4412,1641,221
-11,833,1243,36.7,166.85,-83.85,20150,72.25,403.85,9.65,63.2,122,260,-15
2116,12032,13408,34.3,152.05,-75.6,20200,87.8,445.2,9.96,65.6,2544,1897,274
-97,504,897,31.9,130.9,-75.45,20250,97.35,480.8,10,68,289,405,72
241,14692,10788,29.6,117.5,-69.2,20300,100.8,516.25,9.96,70.3,1162,786,36
