CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
79,1210,1054,27.4,103.45,-59.45,20350,134.4,570,10.73,72.5,35,184,21
3265,6262,15511,25.3,91.65,-57.95,20400,124.2,595.05,10.1,74.6,717,539,184
122,400,819,23.3,81.45,-52.65,20450,78,617,9.14,76.6,9,76,7
3688,23794,31353,21.4,72.2,-46.35,20500,122.1,661.9,9.34,78.5,2672,3379,379
0,0,0,0,0,0,20550,-21.85,698,8.92,0,11,13,9
2102,3622,9901,17.8,53,-37.8,20600,138.25,751.15,9.59,82.1,133,80,45
775,957,1370,16.2,46.95,-31.85,20650,-2.1,719.75,0,83.7,1,3,1
2600,5312,8997,14.7,40.7,-27.3,20700,123.25,814.35,6.81,85.2,218,106,94
0,0,0,0,0,0,20750,0,802.45,0,0,1,1,0
1826,6740,15513,12,31.05,-20.85,20800,105.55,904.55,0,87.9,55,44,30
0,0,0,0,0,0,20850,0,828.75,0,0,1,1,0
0,0,0,0,0,0,20900,0,989.9,0,0,4,2,0
264,533,1703,8.6,21.45,-13.2,20950,0,1022.45,0,91.3,4,1,0
1409,18382,28957,7.6,19.55,-10.95,21000,168.45,1115.85,9.06,92.3,1124,2792,403
0,0,0,0,0,0,21200,0,1155.45,0,0,16,19,0
375,1620,2274,4.1,12.1,-5.55,21250,0,0,0,95.8,0,0,0
0,0,0,0,0,0,21300,0,1240,0,0,32,30,0
0,1043,2458,2,9.45,0,21500,0,1552.8,0,97.9,94,90,0
