CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,0,0,0,0,0,14000,0,24,19.12,0,69,176.5,0
0,0,0,0,0,0,15000,0,80,19.98,0,2,132.5,0
0,0,0,0,0,0,16000,0,124,18.29,0,10,27,0
0,0,0,0,0,0,17000,-7.05,175,16.17,0,4,25,2
0,0,0,0,0,0,18000,0.6,276.95,14.56,0,7,55,0
0,42.5,1,71.8,2550,50,18500,0,0,0,28.1,0,0,0
0,0,0,0,0,0,19000,-2.7,457.3,13.23,0,33,47,22
0,16,4,54.6,1500,40,20000,-9.95,750,12,45.3,2,12,0
0,1,1,43.1,1439.1,0,21000,0,0,0,56.8,0,0,0
