CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
-66,270,370,80.6,430,-138.2,19450,9.65,41,11.2,19.3,18324,2625,683
1297,3777,5626,77.1,389.8,-141,19500,13.35,49.5,11.02,22.8,58432,10678,2803
-56,508,611,73.1,344.2,-136,19550,17.05,59.6,10.84,26.8,13485,1880,711
767,3640,7029,68.9,303.7,-138.25,19600,20.75,70.9,10.62,31,56792,6865,2017
296,567,2118,64.5,273.7,-124.05,19650,28.15,85.95,10.53,35.4,27005,1863,537
4068,6115,36088,59.8,240.15,-119.1,19700,33.05,101,10.27,40.1,120105,11223,4376
1887,2564,27131,55,207.95,-112.5,19750,37.45,117.35,9.94,44.9,53209,2851,823
10191,18896,125242,50.1,176.65,-108.45,19800,45.05,138,9.73,49.8,160501,16105,2009
3788,4734,46681,45.3,150.65,-99.45,19850,56.25,165.1,9.78,54.6,36083,1644,149
10198,15130,94995,40.5,128.65,-89.3,19900,60.95,188,9.31,59.4,67904,6824,1706
3002,4284,32243,35.9,104.55,-84.3,19950,70.55,219.1,9.22,64,8615,607,-477
7523,17549,87101,31.5,88,-73,20000,79.85,249.8,8.85,68.4,31371,4687,-2780
752,1454,13920,27.3,72.2,-64.45,20050,85.85,281.2,8.21,72.6,1280,193,-36
261,6763,42344,23.5,57.95,-57.4,20100,95.7,319.95,7.93,76.4,3967,596,-131
1002,1783,15406,20,46.95,-47.5,20150,112.2,363.1,7.86,79.9,290,146,35
3398,10974,48477,16.8,38.6,-39.05,20200,114.05,396.85,0,83.1,2724,2032,-331
544,2744,17168,13.9,31.95,-31.55,20250,119.45,441.95,0,86,220,137,-44
1247,5345,41812,11.5,25,-26.85,20300,129.75,487.9,0,88.4,410,197,49
1010,2146,12727,9.3,20.65,-20.85,20350,115.25,533.4,0,90.6,49,40,23
1714,4133,27338,7.5,16.6,-16.05,20400,142.5,579.95,0,92.4,204,134,43
1023,1437,6286,5.9,14.4,-11.6,20450,110,600,0,94,11,15,-3
3350,8702,31194,4.7,11.9,-8.35,20500,148.3,673.8,0,95.2,135,177,5
335,567,4378,3.6,9.75,-6.3,20550,-3.85,685.2,0,96.3,5,3,2
1264,2086,11027,2.8,7.8,-5.45,20600,31.9,769.55,0,97.1,31,25,12
310,570,2144,2.1,6.8,-4.3,20650,-24.85,765,0,97.8,4,2,2
872,2916,6238,1.6,5.55,-3.8,20700,0,835,0,98.3,6,0,0
44,155,547,1.1,5.45,-2.7,20750,120.7,900.6,0,98.8,7,2,1
103,741,3208,0.8,4.75,-2.35,20800,0,958.45,0,99.1,4,2,2
36,191,354,0.6,4.75,-1.3,20850,0,0,0,99.3,0,0,0
78,505,1339,0.4,4.5,-1.15,20900,0,0,0,99.5,0,0,0
165,370,1219,0.3,4.3,-1.35,20950,0,1036.85,0,99.6,4,2,0
594,2243,9677,0.2,4,-0.15,21000,0,0,0,99.7,0,0,0
54,219,443,0.1,4.2,-0.2,21050,0,1148.25,0,99.8,4,2,0
29,87,447,0.1,3.75,-0.75,21100,0,0,0,99.8,0,0,0
50,149,189,0,3.9,-1.1,21150,0,0,0,99.9,0,0,0
193,242,872,0,3.7,-0.35,21200,0,0,0,99.9,0,0,0
36,101,313,0,3.75,0.3,21250,0,0,0,99.9,0,0,0
4,104,495,0,3.55,-0.2,21300,0,0,0,99.9,0,0,0
64,182,298,0,3.35,-0.45,21350,0,0,0,99.9,0,0,0
0,60,146,0,3.35,0,21400,0,0,0,99.9,0,0,0
0,21,28,0,3.45,0,21450,0,0,0,99.9,0,0,0
0,412,1587,0,2.95,0,21500,0,1676.05,0,99.9,3,0,0
