CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,0,0,0,0,0,17150,-0.25,2.4,32.26,0,11,81,9
0,0,0,0,0,0,17200,-1.8,1.75,30.55,0,17,70,4
0,0,0,0,0,0,17250,-0.05,2.5,31.24,0,1,7,0
0,0,0,0,0,0,17300,-0.75,2.15,30.12,0,9,2,-5
0,0,0,0,0,0,17350,-1.1,2.25,29.7,0,23,2,-10
0,0,0,0,0,0,17400,-0.75,2.25,29.13,0,10,20,-5
0,0,0,0,0,0,17450,0.15,2.35,28.7,0,33,28,-3
5,6,6,100,2345,-105,17500,-0.55,2.25,27.98,0,255,168,75
0,0,0,0,0,0,17550,-1.05,2.3,27.47,0,89,79,35
0,0,0,0,0,0,17600,-0.85,2.2,26.76,0,233,168,3
0,0,0,0,0,0,17650,-0.45,2.6,26.72,0,14,55,-5
0,0,0,0,0,0,17700,-1.6,2.2,25.61,0,122,32,-9
0,0,0,0,0,0,17750,-1.45,2.55,25.49,0,25,21,-15
-1,0,1,100,2080,0,17800,-0.4,2.8,25.21,0,128,92,52
0,0,0,0,0,0,17850,-2.3,2.55,24.34,0,6,5,-4
0,0,0,0,0,0,17900,-0.85,2.55,23.76,0,87,106,18
0,0,0,0,0,0,17950,-3.85,2.35,22.94,0,41,38,30
21,29,26,100,1821.65,-88.35,18000,-1,2.9,22.97,0,2476,1073,-173
0,0,0,0,0,0,18050,0,5.95,24.75,0,17,27,1
0,0,1,99.9,1750,0,18100,-0.55,2.9,21.8,0,222,65,12
0,0,0,0,0,0,18150,-4.05,3.05,21.36,0,59,40,-2
0,0,0,0,0,0,18200,-1.4,3.3,20.99,0,142,149,68
0,0,0,0,0,0,18250,-0.85,3.4,20.48,0,75,59,8
0,0,0,0,0,0,18300,-2.25,3.65,20.08,0,391,192,-18
0,0,0,0,0,0,18350,-0.7,3.7,19.51,0,18,25,1
0,5,7,99.9,1431,0,18400,-1.55,3.9,19.05,0,412,115,23
0,0,0,0,0,0,18450,-1.65,4.3,18.71,0,68,27,-8
1,13,9,99.9,1292,-83.95,18500,-1.7,4.45,18.19,0,6238,4068,170
0,1,6,99.9,1300,654.25,18550,-2.05,4.85,17.8,0,147,83,41
6,10,7,99.8,1231,0.9,18600,-2.1,5.15,17.34,0.1,1092,396,114
0,2,4,99.8,1157.35,0,18650,-1.1,5.6,16.94,0.1,354,97,-44
9,20,12,99.7,1115,-90.6,18700,-2.1,6.45,16.68,0.2,4206,895,-145
0,3,3,99.5,1040,-68.45,18750,-2.35,6.55,16.07,0.4,577,106,33
11,68,20,99.3,1002.7,-192.3,18800,-2.2,7.25,15.69,0.6,3669,2146,-32
-1,0,1,99.1,400.65,0,18850,-2,8.15,15.35,0.8,729,360,217
30,84,66,98.7,950,-116.4,18900,-2,9.05,14.96,1.2,3749,984,185
-1,0,1,98.3,1029.5,0,18950,-1.1,10.55,14.71,1.6,1678,190,72
81,479,148,97.7,847.35,-149.55,19000,-1.3,11.75,14.32,2.2,16000,5314,887
-2,6,4,96.9,938.65,0,19050,-0.75,13.35,13.97,3,1967,685,331
69,173,113,95.9,755.85,-142.2,19100,-0.5,14.45,13.47,4,10714,2331,-403
9,15,13,94.7,662.35,-37.65,19150,1.95,17.8,13.36,5.2,2913,509,228
37,328,119,93.2,652,-153.9,19200,1.5,19.2,12.82,6.7,23762,4904,1888
22,119,86,91.3,601.3,-171.1,19250,2.15,21.25,12.34,8.6,11300,2222,1516
170,468,499,89.2,558.9,-145.5,19300,2.95,24,11.91,10.7,29940,8021,3739
46,204,94,86.7,519.7,-142.5,19350,6.05,29.55,11.78,13.2,16793,3607,1923
124,773,873,83.9,469,-149.95,19400,8.3,35.3,11.55,16,37295,7583,1227
