CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
-58,422,134,71.9,799.9,-120.1,19400,20.05,179.25,12.31,28.1,828,2019,-257
0,66,2,70.2,819.25,69.75,19450,21.4,189.75,12.17,29.7,47,88,-15
-199,3232,816,68.6,717.8,-126.9,19500,23.45,202.55,12.08,31.3,4099,10003,589
1,72,3,66.9,708.8,-51.2,19550,20,210,11.79,33,23,94,-18
-13,482,216,65.1,647.35,-119.95,19600,28.85,232.65,11.97,34.8,825,1845,275
0,107,2,63.4,695,0,19650,14.35,254.45,12.09,36.5,13,138,-1
18,1051,639,61.6,579.95,-114.85,19700,35,264.85,11.83,38.3,1376,2372,580
1,178,51,59.8,539.95,-117.75,19750,51.45,293.3,12.09,40.1,34,94,-1
101,1113,1139,58,514.45,-112.2,19800,41.45,300.45,11.68,41.9,1665,2314,325
-9,77,44,56.1,511.2,-67.4,19850,50.15,322.55,11.69,43.8,8,39,0
-116,612,631,54.3,449.4,-112.3,19900,46.05,336.85,11.45,45.6,326,660,34
-6,94,38,52.5,420,-112.55,19950,44.05,347.65,11.07,47.4,59,73,31
-623,14658,4502,50.6,398.85,-97.8,20000,48.1,372.55,11.08,49.3,5074,10465,308
-6,56,22,48.8,350,-126.2,20050,49.25,394.15,10.97,51.1,9,29,-2
853,1525,1447,46.9,342.75,-94.5,20100,57.65,424.45,11.07,53,67,161,-13
0,57,12,45.1,326.55,-91,20150,0,386.8,9.16,54.8,35,38,0
62,1541,1194,43.3,295.35,-87.05,20200,73.2,480.85,11.07,56.6,159,269,23
22,76,35,41.5,260.65,-102.4,20250,10.95,465.55,9.73,58.4,1,20,1
163,708,446,39.8,249.25,-82.8,20300,90.45,545,11.18,60.1,36,68,10
6,20,7,38,250.05,-62.65,20350,0,477.5,8.09,61.9,41,38,0
30,728,413,36.3,210,-73.45,20400,96.8,600,10.9,63.6,35,96,8
0,0,0,0,0,0,20450,76.95,607.45,10.05,0,1,51,0
849,6308,4218,33,176.7,-63.95,20500,82.4,642.15,10.03,66.9,1292,1910,85
0,0,0,0,0,0,20550,0,584.5,6.46,0,9,9,0
41,324,439,29.8,142.25,-58,20600,0,0,0,70.1,0,0,0
0,33,49,28.2,179.15,0,20650,0,0,0,71.7,0,0,0
-6,542,349,26.7,118.1,-52.55,20700,0,0,0,73.2,0,0,0
3,128,53,25.3,110.9,-44.45,20750,0,0,0,74.6,0,0,0
59,117,182,23.9,98.75,-42.25,20800,0,0,0,76,0,0,0
53,157,196,21.2,82.45,-36.6,20900,0,0,0,78.7,0,0,0
581,9022,6689,18.8,69.9,-30.35,21000,117.1,1020.6,8.82,81.1,301,1909,16
112,279,382,14.4,49.1,-19.75,21200,0,0,0,85.5,0,0,0
0,325,646,9.3,30.55,0,21500,0,0,0,90.6,0,0,0
125,8678,2064,4,19,-1.75,22000,142.15,1941.25,0,95.9,826,10534,-85
132,1554,910,0.5,10.35,-1.2,23000,130,2895.05,0,99.4,201,412,191
48,286,251,0,9.2,0.85,24000,0,0,0,99.9,0,0,0
