CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,0,0,0,0,0,17950,0,18.85,21.66,0,1,1,-1
0,0,0,0,0,0,18200,0,20.85,19.56,0,6,3,3
0,0,0,0,0,0,18300,0,23.1,18.95,0,6,3,0
0,0,0,0,0,0,18350,0,19.85,17.86,0,6,3,0
0,0,0,0,0,0,18550,0,23.85,16.48,0,1,0,-1
0,0,0,0,0,0,18600,0,26.75,16.38,0,21,3,-18
0,0,0,0,0,0,18700,-1.05,31.95,15.99,0,1,21,0
0,0,0,0,0,0,18750,0,22.65,14.2,0,2,1,0
0,0,0,0,0,0,18800,0,40,15.79,0,2,1,-2
0,0,0,0,0,0,18850,0,48.8,16.11,0,10,1,-10
0,0,0,0,0,0,18900,6.7,25.85,13.03,0,26,23,19
0,0,0,0,0,0,19000,0.2,31.05,12.53,0,231,147,105
0,0,0,0,0,0,19050,0,94.7,17.24,0,2,0,-2
1,1,3,89.3,674.75,0,19100,0,0,0,10.6,0,0,0
0,0,0,0,0,0,19200,4.3,48.95,11.79,0,287,193,142
1,3,2,76.5,574.95,0,19400,0,0,0,23.4,0,0,0
6,11,35,71,458.55,-140.15,19500,17.45,96.55,10.66,28.9,622,427,122
0,0,2,68,648.1,0,19550,0,122.6,11.25,31.9,3,2,0
7,47,84,64.9,418.75,-109,19600,22.75,121.15,10.3,35,216,137,69
1,7,2,61.7,374.25,-102.7,19650,0,136.85,10.18,38.2,33,14,0
58,110,209,58.4,341.45,-107.5,19700,31.3,153.9,10.05,41.5,332,128,20
17,65,117,55.1,309.6,-103.8,19750,16.3,160.3,9.33,44.8,21,31,1
120,213,479,51.8,277.65,-100.95,19800,38,186.15,9.46,48.1,281,114,-41
-4,75,91,48.4,259.05,-86.2,19850,45.6,206.25,9.22,51.5,63,42,-14
72,153,287,45.1,223.45,-90.45,19900,60.6,233.5,9.22,54.8,60,324,3
13,33,21,41.8,188.15,-100.4,19950,84.95,276.55,9.89,58.1,3,28,-1
183,279,683,38.6,173,-83.7,20000,66.9,284.2,8.73,61.3,170,302,0
23,64,75,35.4,153.1,-75.3,20050,0,362,11.02,64.5,1,0,0
29,86,125,32.4,127.95,-77,20100,0,275.75,2.95,67.5,14,0,-14
0,20,46,29.5,122.4,0,20150,0,0,0,70.4,0,0,0
10,74,196,26.7,99.9,-57.8,20200,0,330.75,0,73.2,2,0,-2
23,83,99,21.6,76.5,-46.7,20300,0,0,0,78.3,0,0,0
1665,1722,2620,13.2,44,-24.7,20500,0,0,0,86.7,0,0,0
-1,0,1,11.6,118.4,0,20550,0,0,0,88.3,0,0,0
219,328,377,10.1,29.7,-22.15,20600,0,0,0,89.8,0,0,0
-1,0,1,7.5,67.8,0,20700,0,0,0,92.4,0,0,0
6,36,41,5.5,17.95,-8.2,20800,0,0,0,94.4,0,0,0
0,59,3,4.6,19.4,-5.75,20850,0,0,0,95.3,0,0,0
36,265,408,3.9,16,-6.95,20900,0,0,0,96,0,0,0
0,2,3,1.9,12.55,0,21100,0,0,0,98,0,0,0
35,73,43,1,10,-1.8,21250,0,0,0,98.9,0,0,0
0,6,16,0.8,10,0,21300,0,0,0,99.1,0,0,0
0,2,5,0.6,11.05,0,21350,0,0,0,99.3,0,0,0
