CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
-1,0,1,99.6,5000,0,15000,0,77.7,22.73,0.3,1,12,0
0,0,0,0,0,0,16000,-10.3,40,16.28,0,1,392,0
0,0,0,0,0,0,17000,8.6,110,16.06,0,66,430,-25
0,0,0,0,0,0,18000,7.15,180,13.96,0,163,1247,40
6,119,17,71.5,1860.95,-96.95,19000,14,327.3,12.29,28.4,535,1357,256
46,800,285,54.1,1168,-85.65,20000,18.1,574.35,10.28,45.8,216,757,66
-19,761,185,36.6,601.2,-50.85,21000,42.65,970,7.21,63.3,203,165,13
0,0,0,0,0,0,22000,0,1080.05,0,0,2,1,-1
0,0,0,0,0,0,24000,0,3900,15.78,0,1,0,-1
