CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
-36,439,97,99.8,948.45,-170.65,18850,-2.15,3.3,20.07,0.1,92618,7242,3651
-905,8088,2027,99.7,877.9,-200.15,18900,-2.1,3.75,19.51,0.2,366305,50826,-3641
-30,1183,96,99.5,845.1,-176.25,18950,-2.05,4.1,18.81,0.4,117327,7872,1221
-1808,22837,9220,99.2,791.4,-182.4,19000,-1.9,4.7,18.24,0.7,876882,163422,17491
-32,932,172,98.8,743.7,-179.45,19050,-1.75,5.2,17.55,1.1,155010,11178,3204
-761,5313,2216,98.3,685.5,-189.35,19100,-1.45,5.9,16.91,1.6,443637,66287,19623
-101,1104,332,97.5,627.9,-199.65,19150,-1.2,6.7,16.26,2.4,214250,25141,17507
-790,16146,7044,96.4,586.4,-192,19200,-0.95,7.3,15.45,3.5,572060,76360,11924
-346,1725,1104,95,532.7,-194.5,19250,-0.8,8.35,14.77,4.9,342465,18799,7982
-1282,10107,9560,93.2,486.95,-190.9,19300,0.05,10,14.21,6.7,771738,75158,4277
-110,1576,977,90.8,436.55,-193.75,19350,1.2,12,13.62,9.1,349099,21334,8707
-3806,15232,23032,88,390.1,-191.7,19400,3.25,15.4,13.26,11.9,1066356,82102,5536
401,4251,4534,84.5,334.3,-199.6,19450,6.35,19.9,12.91,15.4,608374,36712,16511
-4517,38473,92751,80.5,299.15,-187.3,19500,10.6,26.35,12.69,19.4,1525958,114648,13223
243,4153,13674,75.9,259.3,-176.2,19550,16.55,34.7,12.48,24,773734,29175,11028
-292,22693,206132,70.8,217.2,-173.55,19600,24.8,46.2,12.39,29.1,1920418,101448,36493
5779,9621,136947,65.2,180.85,-164.4,19650,32,58.3,12.04,34.7,1282975,86530,63890
19944,54453,956117,59.3,149.65,-152.1,19700,45.35,77.6,12.19,40.6,3276872,107605,8571
25108,39693,1123740,53.2,121.25,-138.6,19750,57.7,98.7,12.15,46.7,2529091,53710,12445
111699,205798,3966600,47,97.75,-124.45,19800,69.25,121.25,11.87,52.9,5287646,162648,-13375
76307,88269,2280634,41,76.7,-109.25,19850,83.8,150.1,11.9,58.9,1661322,32464,-7392
149084,221248,3433538,35.1,59.5,-95.4,19900,100,184.4,12.16,64.8,1832463,87707,-22493
52368,80111,1413274,29.6,45.05,-80.3,19950,109.85,215.4,11.6,70.3,340456,15248,-11470
75240,194741,2497858,24.5,34.4,-65.9,20000,126.2,255.9,11.89,75.4,588165,37745,-33925
2918,41293,951052,20,24.95,-53.55,20050,137.35,295.1,11.58,79.9,63701,2525,-1332
32949,111292,1443715,16,18.9,-40.9,20100,150.25,340.15,11.94,83.9,55651,4003,-2686
22954,45912,924515,12.6,13.65,-31.4,20150,155.65,380.75,10.68,87.3,8928,1482,-194
54425,122386,1485982,9.7,10.1,-23.25,20200,167,429.45,11.27,90.2,18162,2441,-2038
37532,55486,773606,7.3,7.65,-17,20250,180.5,485.3,14.33,92.6,1670,585,-61
38317,93325,1140428,5.4,6,-12.25,20300,170.1,515.9,0,94.5,5025,1687,-125
9604,27209,527541,4,4.9,-8.3,20350,148.45,544.05,0,95.9,176,75,8
42813,94487,984798,2.8,4.1,-5.75,20400,188.9,628.95,15.04,97.1,12982,1254,794
12947,28096,309824,2,3.65,-3.75,20450,174.7,659.45,0,97.9,103,38,4
55856,159498,962310,1.3,3.45,-2.55,20500,187.95,719.25,0,98.6,2536,2626,-22
17235,28578,256186,0.9,3.05,-1.35,20550,147.8,745.85,0,99,15,42,-1
31387,69050,484728,0.6,3,-0.4,20600,164.85,797,0,99.3,79,42,-5
8765,19422,152891,0.4,2.8,0.05,20650,86.5,769.85,0,99.5,1,12,0
1669,47799,431576,0.2,2.75,0.55,20700,168.55,892.6,0,99.7,65,32,-4
8493,12708,121734,0.1,2.6,0.6,20750,172.3,952.3,0,99.8,8,14,1
106227,138248,591856,0.1,2.65,0.7,20800,179.8,1002.9,0,99.8,43,70,-9
35763,37632,164567,0,2.6,0.85,20850,0,1010.25,0,99.9,4,2,0
23325,30809,328646,0,2.35,0.55,20900,217,1147,32.14,99.9,65,76,-50
31811,33639,162922,0,2.5,0.8,20950,144.05,1198.95,33.81,99.9,8,6,2
51330,102778,833446,0,2.1,0.4,21000,184.8,1206,0,99.9,345,1322,130
24902,26046,139979,0,2.4,0.75,21050,0,0,0,99.9,0,0,0
15288,18549,154576,0,2.1,0.55,21100,0,1209,0,99.9,5,2,0
14120,15896,100929,0,2.15,0.5,21150,0,0,0,99.9,0,0,0
16700,34304,168381,0,1.9,0.5,21200,0,1268.9,0,99.9,7,5,0
12749,18260,89285,0,1.8,0.4,21250,0,1444.05,0,99.9,2030,1963,0
16794,26631,227233,0,1.85,0.55,21300,0,1494.3,0,99.9,826,734,0
11728,14587,91286,0,1.7,0.35,21350,0,1541.2,0,100,1357,1293,0
0,15780,91387,0,1.9,0,21400,0,1594.4,0,100,739,643,0
0,4747,29459,0,1.8,0,21450,0,0,0,100,0,0,0
0,35163,215497,0,1.7,0,21500,0,0,0,100,0,0,0
