CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
-36,907,134,100,3400.25,-173.05,16400,-0.6,0.75,56.4,0,50856,17205,13081
0,0,0,0,0,0,16450,-0.7,0.75,55.56,0,9101,1859,1632
-406,6182,510,100,3277.1,-187.55,16500,-0.7,0.75,54.72,0,56694,24353,-6029
0,0,0,0,0,0,16550,-1,0.7,53.54,0,12726,1993,1853
-1,35,4,100,3174.05,-186.9,16600,-0.8,0.75,53.05,0,9979,2484,2338
0,0,0,0,0,0,16650,-0.7,0.75,52.22,0,3130,755,540
0,142,2,100,3136.55,-40,16700,-0.9,0.75,51.38,0,6406,1727,1408
0,0,0,0,0,0,16750,-0.85,0.8,50.87,0,322,182,101
0,110,2,100,2740,0,16800,-0.8,0.75,49.73,0,3059,1247,763
0,0,0,0,0,0,16850,-0.95,0.7,48.58,0,2267,691,523
0,54,10,100,2900,0,16900,-1,0.75,48.07,0,3335,1132,969
0,0,0,0,0,0,16950,-1.05,0.75,47.25,0,7446,2219,1676
-302,6209,545,100,2771.05,-197.15,17000,-1.1,0.8,46.71,0,54902,41837,7768
0,0,0,0,0,0,17050,-1.1,0.8,45.89,0,17229,15714,15428
-3,545,3,100,2730,-61.6,17100,-1.15,0.8,45.06,0,6686,2565,1670
0,0,0,0,0,0,17150,-1.15,0.85,44.5,0,2417,817,724
-15,649,100,100,2590,-180,17200,-1.1,0.85,43.68,0,8989,4239,2069
0,0,0,0,0,0,17250,-1,0.85,42.85,0,3148,979,870
-29,426,32,100,2467.35,-165.65,17300,-1.15,0.85,42.03,0,10849,4683,2853
0,1,1,100,2450,0,17350,-1.35,0.85,41.21,0,5416,1625,1394
-42,523,43,100,2370,-197.9,17400,-1.2,0.85,40.38,0,10963,6160,2210
0,0,0,0,0,0,17450,-1.55,0.85,39.56,0,2510,697,576
-96,2667,254,100,2298.2,-172.4,17500,-1.35,1.1,39.79,0,125394,36818,-12548
0,0,0,0,0,0,17550,-1.85,1.05,38.76,0,4414,1726,1532
-32,1041,74,100,2146.5,-221.35,17600,-1.3,1.1,38.11,0,15022,8924,349
0,0,0,0,0,0,17650,-1.05,1,36.9,0,4569,1286,1148
-125,974,171,100,2100.5,-171.9,17700,-1.4,1.05,36.26,0,14542,10267,2835
0,22,4,100,2195,0,17750,-1.45,1.1,35.61,0,1936,948,298
-66,1359,77,100,1958.55,-206.9,17800,-1.45,1.05,34.6,0,21730,8249,3154
0,39,3,100,2060,0,17850,-1.4,1.1,33.94,0,2768,822,501
-23,681,33,100,1840,-228,17900,-1.4,1.25,33.58,0,12368,4219,764
0,71,2,100,2000,0,17950,-1.25,1.25,32.73,0,3683,320,65
-724,8460,1122,100,1765.8,-199.55,18000,-1.2,1.4,32.3,0,210961,85349,-2825
-1,87,5,100,1758.7,-17.25,18050,-1.35,1.45,31.58,0,4963,586,106
-74,1709,92,100,1660,-176.55,18100,-1.25,1.45,30.73,0,31010,5199,1037
-1,279,3,100,1683.25,-121.75,18150,-1.3,1.5,30,0,5853,567,85
-275,2841,498,100,1593.8,-185,18200,-1.2,1.55,29.25,0,43044,11864,-2072
-3,322,5,100,1528,-188,18250,-1.45,1.55,28.4,0,11477,1428,15
-41,3603,192,100,1508.95,-164.2,18300,-1.35,1.6,27.64,0,89624,16285,-1440
-6,269,6,99.9,1390,-220.4,18350,-1.45,1.7,26.98,0,29618,2122,1298
-376,3174,509,99.9,1340,-219.05,18400,-1.6,1.75,26.21,0,86438,15850,2192
-2,176,3,99.9,1307.55,-202.35,18450,-1.55,1.9,25.6,0,39412,1271,-70
-800,8399,1628,99.9,1271.85,-196.65,18500,-1.75,2,24.89,0,280017,84190,5207
-2,624,2,99.9,1211,-205.1,18550,-2.1,1.95,23.93,0,53507,3040,615
-652,4551,945,99.9,1177.8,-194.9,18600,-2.2,2.1,23.27,0,260712,28778,-23277
-54,519,193,99.9,1139.35,-160.65,18650,-2.05,2.2,22.52,0,102308,10074,1891
-942,4398,1958,99.9,1069.45,-206.25,18700,-2.05,2.55,22.07,0,260196,35775,984
-190,990,225,99.9,1000.55,-219.25,18750,-2.1,2.8,21.44,0,110521,14917,5583
-461,9319,1046,99.9,973.95,-195.6,18800,-1.95,3.15,20.87,0,317151,66170,16479
