CALL_OI_chng,CALL_OI,CALL_Volume,CALL_ITM_prob,CALL_LTP,CALL_CHNG,Strike,PUT_CHNG,PUT_LTP,PUT_Volume,PUT_IV,PUT_ITM_prob,PUT_OI_chng,PUT_OI
0,0,0,0,0,0,17850,0,2.15,19.02,0,1,6,0
0,0,0,0,0,0,17900,0,8,22.25,0,9,2,-1
0,0,0,0,0,0,18000,-0.55,6,20.29,0,122,184,31
0,0,0,0,0,0,18050,0,9.95,21.44,0,3,2,-1
0,0,0,0,0,0,18100,-3.05,7,19.75,0,8,98,2
0,0,0,0,0,0,18150,0,11.25,20.8,0,1,1,-1
0,0,0,0,0,0,18200,-2.95,6.45,18.48,0,84,81,46
0,0,0,0,0,0,18250,0,19.1,21.78,0,22,13,-3
0,0,0,0,0,0,18300,0,9.5,18.61,0,12,58,2
0,0,0,0,0,0,18350,0,12.45,18.97,0,42,4,-35
0,0,0,0,0,0,18400,-2.1,6.9,16.62,0,245,19,14
0,0,0,0,0,0,18450,-1,6.75,16.05,0,4,2,2
0,0,0,0,0,0,18500,-1.6,10.5,16.77,0,282,399,74
0,0,0,0,0,0,18550,0,22.75,18.95,0,1,0,-1
0,0,0,0,0,0,18600,-4.25,10.3,15.62,0,42,38,21
0,0,0,0,0,0,18700,-1.55,14.3,15.48,0,6,5,2
0,0,0,0,0,0,18750,0,14.7,14.99,0,4,2,0
0,0,0,0,0,0,18800,0.2,16.6,14.79,0,249,129,9
0,0,0,0,0,0,18900,4.35,20,14.19,0,54,53,21
0,1,1,95.6,820.85,0,18950,0,0,0,4.3,0,0,0
3,46,34,94.6,826.5,-82.05,19000,-1.9,21.05,13.12,5.3,2632,1287,513
0,1,2,93.4,619.75,0,19050,0,0,0,6.5,0,0,0
0,2,21,92,790.7,118.25,19100,2.5,28.5,12.85,7.9,654,375,49
0,6,1,88.6,722.95,270.9,19200,2.35,33.7,12.08,11.3,3005,921,555
0,3,1,86.6,752,0,19250,0,163.8,21.49,13.3,4,2,2
17,95,60,84.3,612.8,-126.5,19300,4.95,44.7,11.72,15.6,4284,855,205
0,3,1,81.8,607.4,0,19350,9.3,52.65,11.64,18.1,195,93,62
21,160,80,79.1,518.05,-141.95,19400,9.2,59.45,11.38,20.8,2732,630,105
0,38,1,76.1,447.9,-62.45,19450,15.95,70.75,11.38,23.8,130,149,18
128,400,558,73,434.65,-130.4,19500,18.9,78.05,11,26.9,7965,1441,-454
3,22,19,69.6,400,-131.85,19550,22.4,89.45,10.83,30.3,244,107,38
342,627,1360,66.1,367.6,-117.6,19600,23.95,100.5,10.54,33.8,4588,1437,212
14,88,59,62.5,328.9,-113.4,19650,27.75,114.65,10.34,37.4,687,214,142
365,687,2684,58.7,296.3,-111,19700,32.35,130.45,10.14,41.2,6585,1206,263
142,237,1092,54.9,260.25,-110.65,19750,39.55,151.35,10.11,45,627,113,21
731,1801,6453,51.1,234,-101.85,19800,42.9,169,9.79,48.8,7055,1726,-267
194,359,924,47.2,204.4,-98.6,19850,38.1,181.05,9.03,52.7,1853,117,-44
454,914,4227,43.4,171.75,-100.15,19900,44.2,204.9,8.78,56.5,3585,746,-177
129,208,570,39.6,158.5,-80.8,19950,63.2,246.45,9.42,60.3,324,104,-21
1287,2207,8184,36,132.75,-80.45,20000,65.3,270,8.87,63.9,3886,802,-257
53,72,190,32.5,117.8,-72.35,20050,86.85,313,9.38,67.4,2,13,-1
0,280,826,29.1,98.3,0,20100,101.7,353.25,9.63,70.8,86,56,18
668,1134,4441,22.9,72.7,-48.9,20200,0,404.2,7.12,77,18,12,0
658,668,2276,17.6,50.15,-41.9,20300,25,520,10.07,82.3,5,15,1
416,734,3935,13.2,36,-26.2,20400,0,0,0,86.7,0,0,0
28,104,102,11.3,32,-19.45,20450,0,0,0,88.6,0,0,0
956,2032,4756,9.6,26,-17.7,20500,0,0,0,90.3,0,0,0
0,5,10,8.1,32.35,0,20550,0,0,0,91.8,0,0,0
275,564,1304,4.6,14.7,-6.85,20700,0,0,0,95.3,0,0,0
134,197,406,3.1,11.5,-4.3,20800,0,0,0,96.8,0,0,0
12,76,77,2.5,12.2,-4.95,20850,0,0,0,97.4,0,0,0
157,250,525,2,9.4,-3.35,20900,0,0,0,97.9,0,0,0
157,251,292,1.6,12.95,3.5,20950,0,0,0,98.3,0,0,0
541,1562,2538,1.2,7.85,-2.1,21000,-50.75,1049.95,0,98.7,1,1,0
0,4,6,0.2,6.15,0,21300,0,0,0,99.7,0,0,0
0,9,10,0.2,5.6,-1.35,21350,0,0,0,99.7,0,0,0
0,120,222,0,5,0,21500,0,0,0,99.9,0,0,0
